181113.500000,1.532325,16.960175,-0.821147,15,0.988950,17.518398,-1.063014,19
181114.000000,1.545206,16.964777,-0.749770,15,0.985735,17.442591,-1.113001,19
181114.500000,1.577867,16.978352,-0.713217,15,0.995821,17.458917,-0.960099,19
181115.000000,1.614864,17.005760,-0.713029,15,1.119948,17.472554,-1.010923,19
181115.500000,1.624080,17.014696,-0.759383,15,1.144540,17.656606,-0.970969,19
181116.000000,1.638442,17.019486,-0.820887,15,0.955577,17.665450,-0.780946,19
181116.500000,1.651609,17.014734,-0.891639,15,0.999523,17.668331,-0.836892,19
181117.000000,1.660249,17.011740,-0.927809,15,1.138264,17.484509,-1.370861,19
181117.500000,1.666539,16.995256,-0.979292,15,1.121728,17.449397,-1.283941,19
181118.000000,1.668602,16.978430,-1.052037,15,1.127635,17.306229,-1.430563,19
181118.500000,1.670899,16.961656,-1.095578,15,1.102467,17.177624,-1.531576,19
181119.000000,1.674224,16.955342,-1.136489,15,1.175396,17.143269,-1.658534,19
181119.500000,1.674567,16.944626,-1.185139,15,1.206866,17.187402,-1.862653,19
181120.000000,1.672659,16.931958,-1.187015,15,1.172491,17.129265,-1.861197,19
181120.500000,1.670762,16.926370,-1.218390,15,1.279450,17.129049,-1.819609,19
181121.000000,1.667897,16.917245,-1.228775,15,1.220995,17.019486,-1.983797,19
181121.500000,1.658506,16.909307,-1.250826,15,1.212620,17.011426,-1.903621,19
181122.000000,1.650241,16.900979,-1.262249,15,1.012596,17.004809,-1.825607,19
181122.500000,1.643167,16.892803,-1.267540,15,1.072715,16.990930,-1.886702,19
181123.000000,1.634431,16.884483,-1.276539,15,1.026160,17.009878,-1.690620,19
181123.500000,1.626503,16.873528,-1.276993,15,1.004643,16.982098,-1.723136,19
181124.000000,1.624142,16.867386,-1.279160,15,0.984787,17.050814,-1.645309,19
181124.500000,1.623951,16.863182,-1.275298,15,1.037813,17.063525,-1.511631,19
181125.000000,1.621488,16.862134,-1.258461,15,1.139614,17.156406,-1.522853,19
181125.500000,1.615719,16.854655,-1.264399,15,1.124247,17.038081,-1.574094,19
181126.000000,1.615187,16.849840,-1.256069,15,1.010088,17.009460,-1.683579,19
181126.500000,1.611081,16.845914,-1.254470,15,1.279999,16.933472,-2.082856,18
181127.000000,1.609043,16.842357,-1.257193,15,1.271530,16.900640,-2.150227,18
181197.500000,0.752352,16.728690,1.010329,15,0.527675,17.068859,-0.813717,18
181198.000000,0.742585,16.738807,1.026508,15,0.521747,17.090929,-0.961971,18
181198.500000,0.740052,16.757872,1.021995,15,0.479091,17.106454,-0.898401,18
181199.000000,0.747027,16.764111,1.000454,15,0.469922,17.183910,-0.962066,18
181199.500000,0.754984,16.782912,0.983336,15,0.594591,17.162778,-1.293050,18
181200.000000,0.753999,16.790793,0.992874,15,0.598536,17.229191,-1.254475,18
181200.500000,0.767193,16.796912,0.977972,15,0.524751,17.235599,-1.066156,18
181201.000000,0.772443,16.793341,0.974711,15,0.645280,17.175785,-1.140995,18
181201.500000,0.769078,16.777406,0.952509,15,0.610426,17.141885,-1.128916,18
181202.000000,0.771845,16.765026,0.963289,15,0.574564,16.914478,-1.249779,18
181202.500000,0.777786,16.757281,0.997596,14,0.600081,16.965101,-0.890805,18
181203.000000,0.775014,16.748742,0.996409,14,0.579507,16.949722,-0.779317,18
181203.500000,0.772660,16.741063,0.996118,14,0.621008,16.992932,-1.092673,18
181204.000000,0.778489,16.731455,1.012304,14,0.561350,16.920901,-1.124284,18
181204.500000,0.781795,16.718953,1.035280,14,0.572396,16.713550,-0.978894,18
181205.000000,0.785538,16.710195,1.028876,14,0.594374,16.739035,-0.901892,18
181205.500000,0.794269,16.702928,1.037100,14,0.586096,16.690332,-1.048137,18
181206.000000,0.800086,16.691499,1.038227,14,0.699971,16.706625,-1.016289,18
181206.500000,0.805802,16.687280,1.063506,14,0.571029,16.695567,-0.924239,18
181207.000000,0.809687,16.680597,1.068547,14,0.627740,16.875052,-0.619544,18
181207.500000,0.810623,16.672959,1.072907,14,0.581656,16.828543,-0.597439,18
181208.000000,0.812580,16.664162,1.063670,14,0.693825,16.679653,-1.007299,18
181208.500000,0.815157,16.656845,1.045624,14,0.729609,16.667230,-1.107869,18
181209.000000,0.818808,16.654618,1.049279,14,0.773291,16.721655,-1.341130,18
181209.500000,0.821756,16.651740,1.045428,14,0.821627,16.703907,-1.351211,18
181210.000000,0.825145,16.646015,1.044455,14,0.937472,16.791354,-1.426956,18
181210.500000,0.830607,16.640661,1.043775,14,1.013124,16.854785,-1.411321,18
181211.000000,0.833706,16.633313,1.039009,14,0.985295,16.781071,-1.581731,18
181211.500000,0.717802,16.942989,0.390048,15,0.938475,16.757514,-1.473628,18
181293.000000,0.964716,16.933665,-3.130194,15,0.961299,17.304676,-2.402380,17
181293.500000,0.974323,16.929819,-3.101607,15,0.943275,17.225119,-2.318530,17
181294.000000,0.974048,16.928971,-2.986309,15,0.981431,17.268376,-2.127965,17
181294.500000,0.967850,16.913692,-2.890788,15,0.953514,17.132522,-1.864073,17
181295.000000,0.959577,16.899834,-2.842907,15,0.908962,16.950817,-1.690873,17
181295.500000,0.953522,16.881510,-2.857913,15,0.892915,17.003868,-1.683672,17
181296.000000,0.943547,16.858831,-2.872143,15,0.920123,16.989813,-1.889992,17
181296.500000,0.935783,16.840818,-2.868300,15,0.871823,16.960437,-1.828330,17
181297.000000,0.937875,16.839245,-2.847330,15,0.878932,16.928204,-1.846533,17
181297.500000,0.943996,16.842676,-2.822127,15,0.961946,17.013237,-1.817297,17
